Tipos,Status,Category,Descrição,Detalhe,O que o cliente deve fazer
BDR,41,unknown,A entrega do objeto está condicionada à composição do lote,,Acompanhar
BDE,42,unknown,Lote de objetos incompleto,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDI,42,unknown,Lote de objetos incompleto,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDR,42,unknown,Lote de objetos incompleto,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDE,43,customs_control,Objeto apreendido por órgão de fiscalização ou outro órgão anuente,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDI,43,customs_control,Objeto apreendido por órgão de fiscalização ou outro órgão anuente,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDR,43,customs_control,Objeto apreendido por órgão de fiscalização ou outro órgão anuente,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDE,45,shipped,Objeto recebido na unidade de distribuição,Entrega prevista para o próximo dia útil,Acompanhar
BDI,45,shipped,Objeto recebido na unidade de distribuição,Entrega prevista para o próximo dia útil,Acompanhar
BDR,45,shipped,Objeto recebido na unidade de distribuição,Entrega prevista para o próximo dia útil,Acompanhar
BDE,46,delivery_unsuccessful,Tentativa de entrega não efetuada,Entrega prevista para o próximo dia útil,Acompanhar
BDI,46,delivery_unsuccessful,Tentativa de entrega não efetuada,Entrega prevista para o próximo dia útil,Acompanhar
BDR,46,delivery_unsuccessful,Tentativa de entrega não efetuada,Entrega prevista para o próximo dia útil,Acompanhar
BDE,47,delivery_unsuccessful,Saída para entrega cancelada,Será efetuado novo lançamento para entrega,Acompanhar
BDI,47,delivery_unsuccessful,Saída para entrega cancelada,Será efetuado novo lançamento para entrega,Acompanhar
BDR,47,delivery_unsuccessful,Saída para entrega cancelada,Será efetuado novo lançamento para entrega,Acompanhar
BDE,48,delivery_rejected,Retirada em Unidade dos Correios não autorizada pelo remetente,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDI,48,delivery_rejected,Retirada em Unidade dos Correios não autorizada pelo remetente,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDR,48,delivery_rejected,Retirada em Unidade dos Correios não autorizada pelo remetente,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDE,49,delivery_unsuccessful,As dimensões do objeto impossibilitam o tratamento e a entrega,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDI,49,delivery_unsuccessful,As dimensões do objeto impossibilitam o tratamento e a entrega,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDR,49,delivery_unsuccessful,As dimensões do objeto impossibilitam o tratamento e a entrega,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDE,50,lost,Objeto roubado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDI,50,lost,Objeto roubado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDR,50,lost,Objeto roubado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDE,51,lost,Objeto roubado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDI,51,lost,Objeto roubado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDR,51,lost,Objeto roubado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDE,52,lost,Objeto roubado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDI,52,lost,Objeto roubado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDR,52,lost,Objeto roubado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDE,53,shipped,Objeto reimpresso e reenviado,,Acompanhar
BDI,53,shipped,Objeto reimpresso e reenviado,,Acompanhar
BDR,53,shipped,Objeto reimpresso e reenviado,,Acompanhar
BDE,54,customs_control,"Para recebimento do objeto, é necessário o pagamento do ICMS Importação",,Acompanhar. O interessado deverá pagar o imposto devido para retirar o objeto em uma Unidade dos Correios.
BDI,54,customs_control,"Para recebimento do objeto, é necessário o pagamento do ICMS Importação",,Acompanhar. O interessado deverá pagar o imposto devido para retirar o objeto em uma Unidade dos Correios.
BDR,54,customs_control,"Para recebimento do objeto, é necessário o pagamento do ICMS Importação",,Acompanhar. O interessado deverá pagar o imposto devido para retirar o objeto em uma Unidade dos Correios.
BDE,55,customs_control,Solicitada revisão do tributo estabelecido,,Acompanhar
BDI,55,customs_control,Solicitada revisão do tributo estabelecido,,Acompanhar
BDR,55,customs_control,Solicitada revisão do tributo estabelecido,,Acompanhar
BDE,56,customs_control,Declaração aduaneira ausente ou incorreta,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDI,56,customs_control,Declaração aduaneira ausente ou incorreta,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDR,56,customs_control,Declaração aduaneira ausente ou incorreta,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDE,57,customs_control,Revisão de tributo concluída - Objeto liberado,,Acompanhar
BDI,57,customs_control,Revisão de tributo concluída - Objeto liberado,,Acompanhar
BDR,57,customs_control,Revisão de tributo concluída - Objeto liberado,,Acompanhar
BDE,58,customs_control,Revisão de tributo concluída - Tributo alterado,O valor do tributo pode ter aumentado ou diminuído,Acompanhar
BDI,58,customs_control,Revisão de tributo concluída - Tributo alterado,O valor do tributo pode ter aumentado ou diminuído,Acompanhar
BDR,58,customs_control,Revisão de tributo concluída - Tributo alterado,O valor do tributo pode ter aumentado ou diminuído,Acompanhar
BDE,59,customs_control,Revisão de tributo concluída - Tributo mantido,Poderá haver incidência de juros e multa.,Acompanhar
BDI,59,customs_control,Revisão de tributo concluída - Tributo mantido,Poderá haver incidência de juros e multa.,Acompanhar
BDR,59,customs_control,Revisão de tributo concluída - Tributo mantido,Poderá haver incidência de juros e multa.,Acompanhar
BDE,66,shipped_delayed,Área com distribuição sujeita a prazo diferenciado,Restrição de entrega domiciliar temporária,Acompanhar
BDI,66,shipped_delayed,Área com distribuição sujeita a prazo diferenciado,Restrição de entrega domiciliar temporária,Acompanhar
BDR,66,shipped_delayed,Área com distribuição sujeita a prazo diferenciado,Restrição de entrega domiciliar temporária,Acompanhar
BDE,69,shipped_delayed,Objeto com atraso na entrega,,Acompanhar
BDI,69,shipped_delayed,Objeto com atraso na entrega,,Acompanhar
BDR,69,shipped_delayed,Objeto com atraso na entrega,,Acompanhar
BLQ,1,shipped,Entrega de objeto bloqueada a pedido do remetente,Objeto em análise de destinação,Acompanhar
CD,0,shipped,Objeto recebido na Unidade dos Correios,,Acompanhar
CD,1,shipped,Objeto recebido na Unidade dos Correios,,Acompanhar
CD,2,shipped,Objeto recebido na Unidade dos Correios,,Acompanhar
CD,3,shipped,Objeto recebido na Unidade dos Correios,,Acompanhar
CMT,0,shipped,Objeto recebido na Unidade dos Correios,,Acompanhar
CO,1,shipped,Objeto coletado,,Acompanhar
CUN,0,shipped,Objeto recebido na Unidade dos Correios,,Acompanhar
CUN,1,shipped,Objeto recebido na Unidade dos Correios,,Acompanhar
DO,0,shipped,Objeto encaminhado para,,Acompanhar
DO,1,shipped,Objeto encaminhado para,,Acompanhar
DO,2,shipped,Objeto encaminhado para,,Acompanhar
EST,1,ignore_last_entry,Favor desconsiderar a informação anterior,,Acompanhar
EST,2,ignore_last_entry,Favor desconsiderar a informação anterior,,Acompanhar
EST,3,ignore_last_entry,Favor desconsiderar a informação anterior,,Acompanhar
EST,4,ignore_last_entry,Favor desconsiderar a informação anterior,,Acompanhar
EST,5,ignore_last_entry,Favor desconsiderar a informação anterior,,Acompanhar
EST,6,ignore_last_entry,Favor desconsiderar a informação anterior,,Acompanhar
EST,9,ignore_last_entry,Favor desconsiderar a informação anterior,,Acompanhar
FC,1,shipped,Objeto será devolvido por solicitação do remetente,,Acompanhar o retorno do objeto ao remetente.
FC,2,shipped,Objeto com data de entrega agendada,,Acompanhar
FC,3,shipped,Objeto mal encaminhado,Encaminhamento a ser corrigido.,Acompanhar
